twa/tws;6;8;10;12;14;16;20;24
0;0;0;0;0;0;0;0;0
43.6;4.6;0;0;0;0;0;0;0
41.1;0;5.35;0;0;0;0;0;0
39.9;0;0;5.87;0;0;0;0;0
39.2;0;0;0;6.1;0;0;0;0
39;0;0;0;0;6.22;0;0;0
38.9;0;0;0;0;0;6.26;0;0
39.3;0;0;0;0;0;0;6.31;0
40.6;0;0;0;0;0;0;0;6.28
52;5.07;5.97;6.53;6.79;6.89;6.94;7;6.97
60;5.34;6.21;6.72;6.98;7.1;7.16;7.23;7.22
75;5.53;6.39;6.87;7.16;7.36;7.48;7.62;7.69
90;5.42;6.34;6.91;7.2;7.45;7.68;7.99;8.16
110;5.35;6.43;7.03;7.42;7.75;8.01;8.33;8.47
120;5.16;6.27;6.95;7.36;7.73;8.08;8.68;9.06
135;4.61;5.72;6.56;7.08;7.48;7.87;8.65;9.65
150;3.88;4.97;5.9;6.62;7.1;7.47;8.22;9.08
144.4;4.13;0;0;0;0;0;0;0
149.4;0;5.01;0;0;0;0;0;0
152.8;0;0;5.76;0;0;0;0;0
158.3;0;0;0;6.27;0;0;0;0
170.9;0;0;0;0;6.52;0;0;0
178.1;0;0;0;0;0;6.94;0;0
179;0;0;0;0;0;0;7.66;0
178.8;0;0;0;0;0;0;0;8.38 
